Tweet ID,Relevance,Sentiment,Satire,Hate,Direction,Targets,Hope Speech
1600044545059741696,1,2,0,1,1,1,0
1599951007286726657,1,0,0,0,,,0
1599776039789789184,1,0,1,0,,,0
1599493260094775297,0,,,,,,
1599262355317485569,1,0,0,0,,,0
1598978017422106626,1,2,1,0,,,0
1598955786314866688,1,0,0,0,,,1
1598862585851707392,1,1,0,0,,,0
1598604283955793920,1,1,0,0,,,1
1598593284665909250,1,2,0,1,1,1,0
1598584731452559360,1,0,1,0,,,0
1598374592170856454,1,0,1,0,,,0
1598326747631865856,1,1,0,0,,,0
1598318521833988096,1,2,0,1,1,1,0
1598214950119706624,1,2,0,0,,,0
1598194350822825986,1,0,0,0,,,0
1597926375792730113,1,2,0,1,1,1,0
1597839434506178560,1,2,0,0,,,0
1597794557181120512,1,0,1,0,,,0
1597625540382699521,1,2,1,1,1,1,0
1597605162818113543,1,0,0,0,,,0
1597600716008280064,1,2,0,1,1,1,0
1597483400210059264,1,0,1,0,,,0
1597302428965011456,1,0,1,0,,,0
1597279334037061632,1,0,1,0,,,0
1597265640725045250,1,0,1,0,,,0
1597237526544388097,1,2,1,1,1,3,0
1597226195418243074,1,2,1,1,0,,0
1597205808508416006,1,0,0,0,,,0
1597129696629886981,1,0,0,0,,,0
1597126712885907456,1,0,0,0,,,0
1597120532335382528,1,0,0,0,,,0
1597117389556297728,1,0,1,0,,,0
1597106134128918528,1,0,0,0,,,0
1597070545933115393,1,0,0,0,,,0
1597061468905955329,1,0,0,0,,,0
1597060471743733761,1,0,0,0,,,0
1597060039914967040,1,0,0,0,,,0
1597034158911475712,1,0,0,0,,,0
1596928837794742272,0,,,,,,
1596912307044765698,1,2,1,1,0,,0
1596895391336652800,1,0,0,0,,,0
1596891194792894464,1,0,0,0,,,0
1596886908202004480,1,0,0,0,,,0
1596877967224733697,1,0,0,0,,,0
1596873814134362112,1,0,0,0,,,0
1596855592316207105,1,0,0,0,,,1
1596852405467222016,1,0,0,0,,,0
1596846432366886912,0,,,,,,
1596842491525099522,1,0,0,0,,,0
1596836720737419265,1,0,1,0,,,0
1596833821470564352,0,,,,,,
1596811207402323968,1,0,0,0,,,0
1596810523076890624,0,,,,,,
1596795853385048066,1,0,1,0,,,0
1596768733321900034,1,0,0,0,,,0
1596762952106770433,1,0,1,0,,,0
1596759817309540352,1,0,0,0,,,0
1596759526883340288,1,0,0,0,,,0
1596757832069951488,1,0,0,0,,,0
1596706694478061569,1,0,0,0,,,0
1596705861212114944,1,0,1,0,,,0
1596511479947460608,1,0,0,0,,,0
1596500138096136192,1,0,1,0,,,0
1596492696792678400,0,,,,,,
1596465864693665796,1,2,1,1,1,3,0
1596454843266146304,1,0,0,0,,,0
1596427455002468352,1,0,0,0,,,0
1596408731394531328,1,0,0,0,,,0
1596289033793310720,1,2,0,1,1,1,1
1596177213904146433,1,0,0,1,1,1,0
1596147338606628864,1,0,0,1,1,1,1
1596117154834907137,1,0,1,1,1,3,0
1596005251609677824,1,0,0,0,,,0
1596001655073386496,1,0,0,0,,,0
1595991999110414336,1,2,0,0,,,0
1595843276158160896,0,,,,,,
1595810509932335104,1,0,1,1,1,2,0
1595809784653303808,1,2,0,1,1,2,0
1595808849482711043,1,0,0,0,,,0
1595802583947673600,1,0,0,0,,,0
1595800301646548992,1,2,0,1,0,,0
1595787914558214144,1,2,0,1,1,3,0
1595746351190773760,1,0,0,0,,,1
1595745540800937984,1,2,0,1,1,3,0
1595744329829871616,1,0,0,0,,,1
1595734766107914240,1,0,1,0,,,0
1595713192637833216,0,,,,,,
1595667885397258240,1,0,0,0,,,0
1595664540565667841,1,0,0,0,,,0
1595663016976330753,1,0,0,0,,,0
1595658004288110598,1,0,0,0,,,0
1595656889068826624,1,2,0,1,1,1,0
1595635453600092161,1,0,0,0,,,0
1595627471579525120,1,0,0,0,,,0
1595627114291957760,1,0,0,0,,,0
1595623164603928576,1,0,0,0,,,0
1595588571750359041,1,0,0,0,,,0
1595586222931730432,1,2,0,0,,,0
1595582553725227009,1,0,0,0,,,0
1595580153018863616,1,0,0,0,,,0
1595483593933045767,0,,,,,,
1595452680276787200,1,0,0,0,,,0
1595443669686894592,1,2,0,1,1,1,0
1595443455010148352,1,0,0,0,,,0
1595438028855873536,1,0,1,0,,,0
1595436276215226368,1,0,0,0,,,0
1595435561413529601,1,0,0,0,,,0
1595434868183564289,1,0,0,0,,,0
1595434503631409160,0,,,,,,
1595433024098820099,1,0,0,0,,,0
1595428626052403202,0,,,,,,
1595428616242094081,1,2,0,0,,,0
1595427765360394240,1,2,0,0,,,0
1595398117066932224,1,0,0,0,,,0
1595390526571823104,0,,,,,,
1595389929512701952,1,0,1,0,,,0
1595375072327467008,1,0,0,0,,,0
1595295247776497665,1,0,0,0,,,1
1595289760754720768,1,0,0,0,,,0
1595285435948756992,1,0,0,0,,,0
1595268545343954945,1,0,0,0,,,0
1595266813771685889,1,0,0,0,,,0
1595261276049281025,1,0,0,0,,,0
1595240131363213313,1,0,0,0,,,0
1595238264813789186,1,0,0,0,,,0
1595132532437442560,1,0,1,1,1,1,0
1595078347016622083,1,0,0,0,,,0
1595073631691816960,1,0,0,0,,,0
1595059857102901248,1,0,0,0,,,0
1595058002176114688,1,2,0,0,,,0
1595048698517807107,1,0,0,1,1,1,0
1595038758940073985,1,0,0,0,,,0
1595032999598653441,0,,,,,,
1595030940971315203,0,,,,,,
1595027100553150470,0,,,,,,
1594980267822698496,0,,,,,,
1594979994820022272,1,0,0,0,,,0
1594956332792152064,1,0,0,0,,,0
1594951807989587969,1,0,0,1,1,1,0
1594937726993924096,1,2,0,0,,,0
1594936863219146753,1,0,1,0,,,0
1594936510754586624,1,0,0,0,,,0
1594936040841936896,1,0,0,0,,,0
1594929458095747073,1,0,1,0,,,0
1594901614242181122,1,0,0,0,,,0
1594890979550855168,1,0,0,0,,,0
1594881269472854016,1,0,0,1,1,2,0
1594870000221061120,1,0,1,0,,,0
1594863857910304768,1,0,0,0,,,0
1594846908467793921,1,0,0,0,,,0
1.59E+18,1,0,1,0,,,0
1594735064361078786,1,2,0,1,1,2,0
1594716077346689024,1,0,0,0,,,0
1594715707006418946,1,0,0,0,,,0
1594711045335306241,1,0,0,0,,,0
1594693604181954563,1,0,0,0,,,0
1594693483406757888,1,2,0,0,,,0
1594634481901572096,1,1,0,0,,,0
1594528487951376385,1,0,1,0,,,0
1594526677832388608,1,1,0,0,,,0
1594514811546583041,1,1,0,0,,,0
1594499512135024640,1,1,0,0,,,0
1594497142785454080,1,2,0,1,0,,0
1594477528865034242,1,0,0,0,,,0
1594472386631716865,1,1,0,0,,,0
1594352792306864129,1,1,0,0,,,0
1594345250923098112,1,0,0,0,,,0
1594344035124408321,1,1,0,0,,,0
1594340756709576705,1,0,0,0,,,1
1594338585502945281,1,1,0,0,,,0
1594337345788334080,1,1,0,0,,,1
1594331182686404608,1,0,0,0,,,0
1594322839582441473,1,1,0,0,,,0
1594319390765305856,1,1,0,0,,,1
1594319206665060352,1,1,1,0,,,0
1594310077657120774,1,1,0,0,,,0
1594309357315186690,1,0,0,0,,,1
1594281964479340545,1,2,0,1,1,2,0
1594273943992815616,1,2,1,0,,,0
1594266545462857729,1,0,0,0,,,1
1594263304297680897,1,1,1,0,,,0
1594254903765266432,1,1,0,0,,,0
1594246947182739457,1,1,0,0,,,0
1594237738970062848,1,0,0,0,,,0
1594234194208575489,1,2,0,0,,,0
1594221700883058689,1,0,1,0,,,0
1594209797942824961,1,0,0,0,,,1
1594206974392295424,1,0,0,0,,,0
1594205231407333376,1,0,0,0,,,0
1594204305288036355,1,0,0,0,,,0
1594199475454898177,1,0,1,0,,,0
1594198922641039361,1,0,1,0,,,0
1594197965161103362,1,0,0,0,,,0
1594195894047772673,1,0,0,0,,,0
1594194507775344640,1,0,0,0,,,0
1594191512417767429,1,2,0,1,0,,0
1594189446806589440,1,2,1,1,1,2,0
1594188741031043072,1,0,0,0,,,0
1594187061950844931,1,0,0,0,,,0
1594180315534090240,1,0,0,0,,,0
1594171946480021505,1,0,0,0,,,0
1594167133620969472,1,0,0,0,,,1
1594165392640856065,1,0,1,0,,,0
1594164561116266498,1,2,1,1,0,,0
1594163819324272642,1,2,0,0,,,0
1594163398064734209,1,0,0,0,,,0
1594161715519705088,1,1,0,1,1,2,0
1594160906333605888,1,0,0,0,,,0
1594160470793289729,1,0,1,1,0,,0
1594158801007116288,1,0,0,0,,,0
1594158528427528192,1,0,0,0,,,0
1594158201523433474,1,0,0,0,,,0
1594157270740258816,1,2,1,1,1,2,0
1594156806536069120,1,1,0,0,,,0
1594156725166571520,1,1,0,0,,,0
1594155092152029189,1,1,0,0,,,0
1594153487784640513,1,1,0,0,,,0
1594153199912775680,0,,,,,,
1594153163111923713,1,1,0,0,,,0
1594149029059112961,1,1,1,0,,,0
1594144466382000128,1,1,0,0,,,0
1594144229495738369,1,2,0,1,1,1,0
1594142596917444608,1,0,0,0,,,0
1594141430427316225,1,0,0,0,,,0
1594139336064131074,1,0,0,0,,,0
1594135247825895424,1,0,0,0,,,0
1594133460771573760,1,0,0,0,,,0
1594131469139517440,1,0,1,0,,,0
1594125283413872640,1,2,0,1,1,2,0
1594123584578150401,1,0,0,0,,,0
1594108874495528960,1,0,0,0,,,0
1594105494083604480,1,1,0,0,,,0
1594102027193548800,1,0,0,0,,,0
1594097887679459328,1,1,0,0,,,0
1594095609619050496,1,1,0,0,,,0
1594058025983090688,1,1,0,0,,,0
1594053414060625920,1,1,0,0,,,0
1594049900068876288,1,0,0,0,,,0
1594047540789268480,1,0,0,0,,,0
1594043727370424320,1,0,0,0,,,0
1594043032273199105,1,2,0,1,1,2,0
1594041160653099009,1,0,1,1,1,2,0
1594039106392444930,1,0,0,0,,,0
1594027759491174400,1,0,0,0,,,1
1594024065089798145,1,1,0,0,,,0
1594023070477742081,1,1,0,0,,,1
1594022918790746113,1,1,0,0,,,0
1594018581993619456,1,0,0,0,,,0
1594005976595984384,1,1,0,0,,,0
1594005468963164160,1,1,0,0,,,0
1594003299732115457,1,1,1,0,,,0
1594000331121119233,1,1,0,0,,,0
1593997920239783937,1,0,0,0,,,1
1593980309233487872,1,1,0,0,,,1
1593974776099667968,1,1,0,0,,,0
1593974421060227072,1,1,0,0,,,0
1593973838215548929,1,1,0,0,,,0
1593973254339067907,1,2,1,0,,,0
1593971886219829252,1,0,0,0,,,0
1593966377928253440,1,0,0,0,,,0
1593963845307240448,1,0,0,0,,,0
1593961511055392770,1,0,0,0,,,0
1593960143900876800,1,1,0,0,,,0
1593959005302710272,1,0,0,0,,,0
1593947429862535168,1,1,0,0,,,0
1593946342833156096,1,1,0,0,,,0
1593945326674935808,1,1,0,0,,,0
1593943351317114881,1,1,0,0,,,0
1593942597537796096,1,0,0,0,,,0
1593934488144211970,1,1,0,0,,,0
1593929673473658881,1,2,1,0,,,0
1593922591906988036,1,0,0,0,,,0
1593917134043631616,1,2,1,0,,,0
1593906349208895492,1,0,0,0,,,0
1593898479008763905,1,2,1,1,0,,0
1593873237837983744,1,0,0,0,,,0
1593868329592102912,1,1,0,0,,,0
1593865918186037248,1,1,0,0,,,0
1593865870761398279,1,1,0,0,,,0
1593862292734726145,1,2,0,1,1,1,0
1593861779364278272,1,1,1,0,,,0
1593849138243809280,1,2,0,1,1,1,0
1593837314010415104,1,1,0,0,,,0
1593834748601765890,1,1,0,0,,,0
1593812593340469248,1,1,1,1,1,1,0
1593811454423359488,1,0,0,0,,,0
1593810978319187968,1,1,0,0,,,0
1593807723812237313,1,1,0,0,,,0
1593804633721356288,1,0,0,0,,,0
1593794419232485377,1,0,0,0,,,0
1593792111547420672,1,1,0,0,,,0
1593786853861179392,1,0,0,0,,,0
1593785239586807808,1,1,0,0,,,1
1593783740958113794,1,0,0,0,,,0
1593783005914750977,1,1,0,0,,,1
1593779077189496832,1,0,0,0,,,0
1593777426391531521,1,0,0,0,,,0
1593777262721056769,1,1,0,0,,,0
1593763462672306176,0,,,,,,
1593763364450185216,1,0,0,0,,,0
1593685287858601984,1,2,0,1,0,,0
1593684496292773889,1,2,0,1,0,,0
1593684090363949056,1,2,0,1,0,,0
1593661236839067648,1,0,0,0,,,0
1593660723124916225,1,1,0,0,,,0
1593658910858436608,1,0,0,0,,,0
1593647388882780162,1,1,0,0,,,0
1593646062262439937,1,1,0,0,,,0
1593645030803136514,1,0,0,0,,,0
1593638311704530944,1,1,0,0,,,0
1593631544467664896,0,,,,,,
1593628031180214272,1,2,0,0,,,0
1593626369082028032,1,0,0,0,,,0
1593620313946099712,1,0,1,0,,,0
1593618607396728832,1,2,0,0,,,0
1593614140467281920,1,0,0,1,1,2,0
1593612724185235458,1,1,1,0,,,0
1593605885858717696,1,0,0,0,,,0
1593600570148802560,1,0,0,0,,,0
1593599390857498624,0,,,,,,
1593597236990312453,1,1,0,0,,,0
1593565011825270785,1,1,0,0,,,0
1593547390937694208,1,0,0,0,,,0
1593542044365967360,1,1,0,0,,,0
1593539273349017600,1,1,0,0,,,0
1593515520661147648,0,,,,,,
1593511837479231488,1,2,0,0,,,0
1593511493307351040,1,1,1,0,,,0
1593506059792289792,1,1,0,0,,,0
1593498016576585729,1,1,1,0,,,0
1593480667047682049,1,1,0,0,,,1
1593468684734935040,1,1,0,0,,,1
1593463938569551872,1,1,0,0,,,0
1593447574584709125,1,0,0,0,,,0
1593446919686086657,1,1,0,0,,,1
1593444909272674304,1,2,0,0,,,0
1593444276179902464,1,0,0,0,,,0
1593443655389306880,0,,,,,,
1593440630763462656,1,0,0,0,,,0
1593439992394571776,1,2,0,1,0,,0
1593438468365246465,1,0,0,0,,,0
1593437635157991424,1,0,0,0,,,0
1593413830167887873,1,1,0,0,,,0
1593410325436461057,1,0,0,1,1,1,0
1593410031579320324,1,1,0,1,1,1,0
1593405757919154176,0,,,,,,
1593400854891343872,1,0,0,0,,,0
1593391677590233089,1,0,0,0,,,0
1593380474965008384,1,1,0,0,,,0
1593370483591852033,1,1,0,0,,,0
1593369966639689728,1,0,0,0,,,1
1593361047628283905,1,1,0,0,,,0
1593358422652506113,1,1,0,0,,,0
1593358046998110208,1,0,0,0,,,0
1593355463164207104,1,1,0,0,,,0
1593353331887538176,1,1,1,0,,,0
1593311148861886464,1,1,0,0,,,1
1593310840173780997,0,,,,,,
1593307367201988610,1,1,0,0,,,0
1593307276634624000,1,0,0,0,,,1
1593307165531738112,1,1,0,0,,,1
1593307084426477572,1,0,0,0,,,0
1593306988293009408,1,1,0,0,,,0
1593306862325493760,1,2,0,0,,,1
1593306757597888512,1,2,0,1,0,,0
1593306675255341058,1,2,0,1,0,,0
1593306562780893184,1,2,0,0,,,0
1593306480207618048,1,0,0,0,,,0
1593306327572709376,1,0,0,1,1,2,0
1593306104532185088,1,0,0,0,,,1
1593300490246574080,1,2,0,0,,,1
1593298425239732224,1,2,0,0,,,1
1593290340295147520,1,0,0,0,,,0
1593289578151964672,1,0,0,0,,,1
1593288115699040261,1,1,0,0,,,1
1593283742734303232,1,1,1,0,,,0
1593281313414713344,1,1,0,0,,,1
1593280715445399552,1,1,0,0,,,0
1593278898846171136,1,0,0,0,,,0
1593278711876313088,1,0,0,0,,,1
1593278195012624384,1,1,0,0,,,1
1593275937541324800,1,1,0,0,,,0
1593274799572529153,1,2,0,1,1,2,0
1593274616172220421,1,0,0,0,,,1
1593273522440130567,1,0,0,0,,,0
1593273182789705729,1,0,0,0,,,0
1593271170580692992,1,2,0,0,,,0
1593271135613124608,1,0,1,0,,,0
1593271030125953024,1,0,0,0,,,0
1593268514240229376,1,0,0,0,,,0
1593268423710105603,1,0,0,0,,,0
1593268350746243073,1,0,0,0,,,0
1593266093329637377,1,0,1,0,,,0
1593265510673547264,1,2,0,0,,,0
1593263962975784960,1,2,0,0,,,0
1593262741632225281,1,2,0,1,1,1,0
1593260878509375489,1,2,0,0,,,0
1593257969822859266,1,1,0,0,,,0
1593256585974775808,1,0,0,0,,,0
1593251916997595139,1,1,0,0,,,0
1593250846955163648,0,,,,,,
1593250726498574338,1,2,0,1,1,1,0
1593250711323611136,1,2,0,1,0,,0
1593245990231805954,1,2,0,0,,,0
1593245154466758662,1,1,0,0,,,0
1593240506347454472,1,1,0,0,,,0
1593239937054568453,1,0,0,0,,,0
1593238781217628160,1,0,0,0,,,1
1593234317484122112,1,2,0,0,,,1
1593234062092963840,1,2,1,0,,,0
1593233221004984321,1,0,0,0,,,0
1593227373255983108,1,2,0,0,,,0
1593226346041593856,1,2,0,0,,,0
1593226283282214914,1,0,0,0,,,0
1593224779246366720,1,2,0,0,,,0
1593223815651528705,1,0,1,0,,,0
1593223398255382529,1,0,0,0,,,1
1593222641464537088,1,0,0,0,,,0
1593220989156225024,1,2,0,1,1,1,0
1593213406265606144,1,0,0,0,,,0
1593212562166145025,1,0,0,0,,,0
1593211845804167168,1,0,0,0,,,0
1593210205164433409,1,0,0,0,,,0
1593210093499469824,1,2,0,0,,,0
1593207717728223233,1,0,0,1,1,3,0
1593207529668235264,1,0,1,1,0,,0
1593203739699318785,1,1,0,0,,,0
1593200910163116034,1,0,0,0,,,0
1593200528678596608,1,0,0,0,,,0
1593198475969454082,1,2,0,0,,,1
1593193288840142848,1,0,1,0,,,0
1593187932831371264,1,2,1,0,,,0
1593186587533537280,1,1,0,0,,,0
1593183944681623552,1,1,0,0,,,0
1593172156405665794,1,0,0,0,,,0
1593169777660686336,1,1,0,0,,,0
1593167298676011009,1,1,0,0,,,0
1593164370288472064,1,0,0,0,,,0
1593162639907368960,1,2,0,0,,,0
1593162094840807424,1,2,0,0,,,0
1593159791358390273,1,1,0,0,,,0
